INPUT:RltmDpstAplcTrgtInqyInptDTO
피보험자명	inurNm	String	0	OBJECT
1회보험료	tms1Prem	BigDecimal	0	OBJECT
수금방법코드	cltnMthdCode	String	0	OBJECT
수금방법명	cltnMthdNm	String	0	OBJECT
보험료할인종류코드	premDsctKindCode	String	0	OBJECT
보험료할인종류명	premDsctKindNm	String	0	OBJECT
계약상태명	cntcSttsNm	String	0	OBJECT
납입상태명	paymSttsNm	String	0	OBJECT
할인율	dcrt	BigDecimal	0	OBJECT
할인금액	dsctAmt	BigDecimal	0	OBJECT
실납입금액	acpyAmt	BigDecimal	0	OBJECT
계약건수	cntcCont	int	0	OBJECT
보험료총합계금액	premTotSumAmt	BigDecimal	0	OBJECT
할인총합계금액	dsctTotSumAmt	BigDecimal	0	OBJECT
실납입총합계금액	acpyTotSumAmt	BigDecimal	0	OBJECT
통화코드	crnyCode	String	0	OBJECT
일련번호	sqno	int	0	OBJECT
